"specification","horizon","coef","se","p_value","ci_lower","ci_upper","n_obs"
"Baseline (2 lags)",1,0.180753077578863,1.16400011704777,0.876688990783866,-1.73385673671909,2.09536289187682,345
"Baseline (2 lags)",2,0.144610306210967,1.28443647887781,0.910425761078705,-1.96809969465998,2.25732030708191,344
"Baseline (2 lags)",3,-0.75540173957814,1.44241411879381,0.600829962627946,-3.12796183444216,1.61715835528588,343
"Baseline (2 lags)",4,-3.02789578958687,1.43072451112037,0.0350576948527445,-5.38122819087158,-0.674563388302158,342
"Baseline (2 lags)",5,-3.6282389153793,1.56957511647125,0.0214111987818332,-6.20996023847981,-1.0465175922788,341
"Baseline (2 lags)",6,-3.93306940813818,1.89223588063749,0.0384305445861346,-7.04552045945247,-0.820618356823886,340
"Baseline (2 lags)",7,-4.77741331120891,1.88357543904102,0.0116619083502101,-7.87561920375224,-1.67920741866558,339
"Baseline (2 lags)",8,-6.43714969286887,2.01189857128862,0.00151051260428399,-9.74642835491144,-3.1278710308263,338
"Baseline (2 lags)",9,-6.5108107462556,2.16198423616582,0.00280154761916609,-10.0669583585249,-2.95466313398634,337
"Baseline (2 lags)",10,-7.07882714014301,2.44024874545325,0.00397350134210688,-11.0926791397656,-3.06497514052045,336
"Baseline (2 lags)",11,-8.25893032713602,2.69672380258287,0.00237710185243389,-12.6946462547008,-3.82321439957123,335
"Baseline (2 lags)",12,-8.46952004738051,2.80963721627209,0.00277702415014615,-13.0909620129835,-3.84807808177752,334
"Baseline (2 lags)",13,-8.65438530303194,2.94975722425115,0.00358574966116191,-13.5063041719678,-3.80246643409613,333
"Baseline (2 lags)",14,-8.64322399907693,2.92467794866366,0.00335360289742774,-13.4538911306013,-3.83255686755252,332
"Baseline (2 lags)",15,-8.01165567777366,2.79435143923436,0.00441564356241237,-12.6079547775754,-3.41535657797195,331
"Baseline (2 lags)",16,-6.68807826549967,2.76402246835564,0.016088926707404,-11.2344906475498,-2.14166588344954,330
"Baseline (2 lags)",17,-5.64073305450287,2.72736536392413,0.0394244824501237,-10.1268498653753,-1.15461624363045,329
"Baseline (2 lags)",18,-4.78644491160265,2.68069065159923,0.0751258142221678,-9.19578865262056,-0.377101170584747,328
"1 lag (instead of 2)",1,-0.00224985440298238,1.15479323106305,0.99844664529661,-1.90171568889605,1.89721598009009,346
"1 lag (instead of 2)",2,-0.00793911102799663,1.29135299396414,0.995098331419413,-2.13202576682455,2.11614754476856,345
"1 lag (instead of 2)",3,-0.947014870180393,1.46005388343764,0.517026784897441,-3.34858979589737,1.45456005553659,344
"1 lag (instead of 2)",4,-3.24080177138375,1.51794246253154,0.0334821735873049,-5.73759493638239,-0.744008606385101,343
"1 lag (instead of 2)",5,-3.85919021489867,1.63483335201812,0.0188160730007592,-6.5482517834269,-1.17012864637044,342
"1 lag (instead of 2)",6,-4.04733423566584,1.94118606102043,0.0378279135618935,-7.24030116872293,-0.854367302608755,341
"1 lag (instead of 2)",7,-5.11798547206418,1.94073193561094,0.0087516193563019,-8.31020543529439,-1.92576550883397,340
"1 lag (instead of 2)",8,-6.88010355497372,2.11618597052196,0.00126678176629455,-10.3609197238906,-3.39928738605686,339
"1 lag (instead of 2)",9,-7.12306645295373,2.35935662185574,0.00273187369243911,-11.0038627496851,-3.24227015622234,338
"1 lag (instead of 2)",10,-7.69447572082519,2.64542067674766,0.00387586197408539,-12.045805515786,-3.34314592586438,337
"1 lag (instead of 2)",11,-9.33807518190407,3.02490817862743,0.00219276899106796,-14.3136063707146,-4.36254399309357,336
"1 lag (instead of 2)",12,-9.40279516647974,3.11412331973558,0.00273078729213976,-14.525072203721,-4.28051812923851,335
"1 lag (instead of 2)",13,-9.57243716905018,3.23662060465547,0.00332614666980138,-14.8962043096836,-4.24867002841677,334
"1 lag (instead of 2)",14,-9.38325622228313,3.15195071440296,0.00312837854217862,-14.5677537868411,-4.19875865772515,333
"1 lag (instead of 2)",15,-8.66130885169655,3.00216553078516,0.00417453422251878,-13.5994317137172,-3.72318598967589,332
"1 lag (instead of 2)",16,-7.27327986083684,2.93142872898209,0.0136017623259685,-12.0950510378528,-2.45150868382091,331
"1 lag (instead of 2)",17,-6.23869094047674,2.91339233606539,0.0329887109309294,-11.0307948911865,-1.44658698976697,330
"1 lag (instead of 2)",18,-5.48181999383463,2.86387997609194,0.0564878157376003,-10.1924833596631,-0.771156628006109,329
"Exclude COVID",1,0.944967304262087,1.19172451339737,0.428410882894704,-1.01524508392656,2.90517969245073,323
"Exclude COVID",2,0.622351510316023,1.33558983414834,0.641557474329764,-1.57449827250239,2.81920129313443,322
"Exclude COVID",3,-0.371889963905876,1.51907060731024,0.806761277575618,-2.8705387619355,2.12675883412375,321
"Exclude COVID",4,-2.97549639268448,1.51075985467561,0.0497787924334485,-5.46047521910033,-0.490517566268633,320
"Exclude COVID",5,-3.796178181907,1.63287305541211,0.0207257402199638,-6.48201534945293,-1.11034101436106,319
"Exclude COVID",6,-3.75400370651384,2.09181682140455,0.0736925343894938,-7.1947361921192,-0.313271220908469,318
"Exclude COVID",7,-4.47991020056807,2.12264705296718,0.0356186523471099,-7.97135390437899,-0.988466496757155,317
"Exclude COVID",8,-6.51789204667506,2.28181497238067,0.00457633360114693,-10.2711436800276,-2.76464041332254,316
"Exclude COVID",9,-6.41920873169143,2.55882446463943,0.0126361057007902,-10.6281004330858,-2.2103170302971,315
"Exclude COVID",10,-6.90169750595111,2.91424297116718,0.018495048866782,-11.6952006268933,-2.10819438500894,314
"Exclude COVID",11,-8.44080672739631,3.12429419958667,0.00728655896554894,-13.5798133732499,-3.30180008154274,313
"Exclude COVID",12,-8.48775597182786,3.35557059355006,0.0119310070203976,-14.0071784331204,-2.96833351053535,312
"Exclude COVID",13,-9.18763271853712,3.4281598094803,0.00776514846977321,-14.8264538149301,-3.54881162214419,311
"Exclude COVID",14,-9.02339261066,3.46917861829716,0.00975390516906576,-14.7296836435086,-3.31710157781143,310
"Exclude COVID",15,-7.88804504491942,3.40164973812439,0.0210728570957513,-13.4832609542919,-2.292829135547,309
"Exclude COVID",16,-6.30318758299233,3.34142855973539,0.0602133462320211,-11.7993484686723,-0.807026697312341,308
"Exclude COVID",17,-5.39989715195148,3.1952809795138,0.0920813685807908,-10.6556666602338,-0.144127643669162,307
"Exclude COVID",18,-4.29675319976637,3.07318118291934,0.163112706921441,-9.35168641477025,0.758180015237517,306
"Exclude GFC",1,-0.240505301613377,1.13394375462444,0.832164433117919,-2.10567679916636,1.6246661959396,335
"Exclude GFC",2,-0.47730349093934,1.26195560249289,0.705510182405366,-2.55303574075149,1.59842875887281,334
"Exclude GFC",3,-1.4566967637272,1.41773342099935,0.304959614184347,-3.78866072330829,0.875267195853901,333
"Exclude GFC",4,-3.3160880267724,1.44967835629275,0.0228148622219329,-5.70059672903358,-0.931579324511215,332
"Exclude GFC",5,-3.84078284011877,1.58794345530838,0.0161295866532648,-6.45271739197661,-1.22884828826093,331
"Exclude GFC",6,-3.75621607800004,1.87381533090363,0.0458473054691811,-6.83836802127414,-0.674064134725938,330
"Exclude GFC",7,-4.28856269466627,1.82146966264601,0.0191539255924885,-7.28461367565164,-1.2925117136809,329
"Exclude GFC",8,-5.52813027166494,1.94225434789668,0.00471027828864444,-8.72285438026507,-2.33340616306482,328
"Exclude GFC",9,-5.36452820821956,2.14532105859049,0.0129022555334905,-8.8932673324175,-1.83578908402162,327
"Exclude GFC",10,-5.51010381764311,2.38524061576856,0.0215255321148277,-9.43347549564199,-1.58673213964424,326
"Exclude GFC",11,-6.57735014356466,2.6039195527168,0.0120272070252149,-10.8604166641408,-2.29428362298858,325
"Exclude GFC",12,-6.33440141676271,2.69899311349351,0.0195468241129923,-10.7738500286096,-1.89495280491588,324
"Exclude GFC",13,-6.3204229990685,2.7919806149838,0.0242698839377599,-10.9128224400028,-1.7280235581342,323
"Exclude GFC",14,-6.15893754715204,2.81347558384408,0.029328983590676,-10.7866930655774,-1.5311820287267,322
"Exclude GFC",15,-5.91970344007637,2.63658419603633,0.0254542886215956,-10.2564985176897,-1.58290836246309,321
"Exclude GFC",16,-5.23939494560882,2.61817674334389,0.0462436026393313,-9.54591245789801,-0.932877433319631,320
"Exclude GFC",17,-4.55087551309662,2.56551325794729,0.07706698403868,-8.7707693004233,-0.330981725769941,319
"Exclude GFC",18,-4.03312820983565,2.55956851978072,0.116116738449365,-8.24324377302777,0.176987353356468,318
